ppid	session	object	feedback	eye	vertical	symmetry	model	efrc_errX	efrc_errY	efrc_errZ	efrc_err	first_gaze_errX	first_gaze_errY	first_gaze_errZ	first_gaze_err	final_gaze_errX	final_gaze_errY	final_gaze_errZ	final_gaze_err	efrc_err_cursor	efrc_err_hand	efrc_err_none	efrc_err_cog	efrc_err_bbox	efrc_err_random
8	1	unten_sym	hand	L	low	sym	bbox	0.054834729460339765	0.2905061176150529	0.03437047803472503	0.297627252930734	0.0030009189170368904	0.5216886981273119	0.04248357222744316	0.5234242611661409	0.014446179857108643	0.0884508222869097	0.034448571328328306	0.09601533284979716		0.297627252930734			0.297627252930734	
8	1	unten_sym	hand	L	low	sym	random	0.14806766734021068	0.259840872418494	0.14431503421912564	0.3712583419890658	0.14696008955170595	0.5524322401754623	0.14361212012603455	0.6047544691044716	0.14626220560074019	0.15463468357661303	0.15666928584347153	0.29931601760546456		0.3712583419890658				0.3712583419890658
8	1	unten_asym	hand	L	low	asym	cog	0.02780896849147471	0.19253451021694484	0.030872582567087938	0.19696698380033223	0.04986378389933242	0.6012064305191838	0.05552498934970468	0.6058205951308211	0.04411217305929118	0.03373283611436806	0.00033495966970767486	0.055532875329051705		0.19696698380033223		0.19696698380033223		
8	1	unten_asym	hand	L	low	asym	bbox	0.055011956155357894	0.2760441183097173	0.032166942735796976	0.283304399504131	0.0770667715632156	0.5176968224264112	0.05423062918099564	0.5262036187360808	0.07131516072317437	0.04977677197840444	0.0009594004990013649	0.08697413194093831		0.283304399504131			0.283304399504131	
8	1	unten_asym	hand	L	low	asym	random	0.1523278341158061	0.26115432027563773	0.1485551506848113	0.38045826049033127	0.15889204706979776	0.5342368301404662	0.16860349243046233	0.6043656611414587	0.1570940566640852	0.17418271360759877	0.15343943323744397	0.31032374345269054		0.38045826049033127				0.38045826049033127
8	1	oben_sym	hand	L	high	sym	cog	0.01892856187412664	0.04701451822859687	0.07609145921356655	0.0914251909713049	0.0031163861518773463	0.5016742949987012	0.018922386412439512	0.5020407023664846	0.004221198279824434	0.13828848902918567	0.0358408501341502	0.14291987703336234		0.0914251909713049		0.0914251909713049		
8	1	oben_sym	hand	L	high	sym	bbox	0.020244458301767913	0.006145308379010561	0.07589677526950393	0.07879037633692798	0.0018004897242360747	0.5425435048482875	0.019117070356502123	0.5428831907467078	0.0029053018521831625	0.17915769887877198	0.035646166190087585	0.1826925587166603		0.07879037633692798			0.07879037633692798	
8	1	oben_sym	hand	L	high	sym	random	0.13251725612030052	0.14389967352115637	0.13446712956682208	0.2649544310458468	0.13339740930269112	0.530845989054047	0.1288157797253259	0.5756076342643938	0.1334857942729269	0.19170158609461854	0.12729662633021588	0.3003950628868874		0.2649544310458468				0.2649544310458468
8	1	sphere	hand	L	middle	sym	cog	0.015911937743167633	0.1339222158208023	0.07346667794478766	0.15357637325233053	0.026173170172699798	0.5305604288019994	0.08385775704467488	0.5377839035002947	0.007267073816667641	0.0658284501391686	0.020376873226841338	0.06929222302744131		0.15357637325233053		0.15357637325233053		
8	1	sphere	hand	L	middle	sym	bbox	0.015911931827115627	0.13392221224783743	0.07346664960857278	0.1535763559684055	0.026173164256647792	0.5305604323749642	0.08385778538088975	0.5377839111558673	0.007267067900615635	0.06582845371213347	0.020376844890626463	0.06929221746848131		0.1535763559684055			0.1535763559684055	
8	1	sphere	hand	L	middle	sym	random	0.13945006571164692	0.17384773918397783	0.15279489752709746	0.3109998036137805	0.14133874594369591	0.5458739638527984	0.1692606367609918	0.6077814453747346	0.1379956582585095	0.16509732390073714	0.14981773989137598	0.2952722134102128		0.3109998036137805				0.3109998036137805
8	2	oben_asym	cursor	L	high	asym	cog	0.00048605920122905474	0.07551824471639668	0.010955778158466416	0.07631035718465878	0.006724260809652332	0.5263629700363103	0.0466248825948157	0.5284667175762937	0.022719356605384777	0.13724227663827393	0.011993067240969175	0.13962609112649957	0.07631035718465878			0.07631035718465878		
8	2	oben_asym	cursor	L	high	asym	bbox	0.0202132950661432	0.12098178995585995	0.010697913917623945	0.12312439303624477	0.013002975055261816	0.5718265152757736	0.04688274683565817	0.5738925272937248	0.04244659247029892	0.1827058218777372	0.011735203000126706	0.1879384089264705	0.12312439303624477				0.12312439303624477	
8	2	oben_asym	cursor	L	high	asym	random	0.1305325365189249	0.17923964352228258	0.14543263131204992	0.29771048677326567	0.12989899003736197	0.5681406856916429	0.15083322814791905	0.6157026770462756	0.13308105839734566	0.20291777330784927	0.14545337709370001	0.32027144965265486	0.29771048677326567					0.29771048677326567
8	2	mitte_sym	cursor	L	middle	sym	cog	0.005697804800925335	0.018113131966945473	0.032822339970900644	0.037919078711999475	0.002498039828976358	0.5418171802451215	0.05429153724714559	0.5445361953336251	0.002791643478495504	0.07862855484258219	0.020511188681377062	0.08130775959935824	0.037919078711999475			0.037919078711999475		
8	2	mitte_sym	cursor	L	middle	sym	bbox	0.005697745294520375	0.030795613719507342	0.032822357174488614	0.04536674174207402	0.0024979803225713988	0.5544996619976833	0.05429152004355762	0.5571567860215623	0.0027917029849004633	0.09131103659514406	0.02051120588496503	0.0936280330696478	0.04536674174207402				0.04536674174207402	
8	2	mitte_sym	cursor	L	middle	sym	random	0.14483288509604655	0.16255237779991868	0.1669814836487148	0.30345577503685445	0.14538397906456177	0.5623205637936711	0.16347663574708335	0.6218155184433841	0.14637427042393966	0.17234019415339058	0.1651533982831076	0.3146968684736777	0.30345577503685445					0.30345577503685445
8	2	mitte_asym	cursor	L	middle	asym	cog	0.008350721756511213	0.007317220339324082	0.026276377378749466	0.028525852756742336	0.050048336578922034	0.5675321966055858	0.062356774177946196	0.5731369796690472	0.004348771905073087	0.06699568930980282	0.04665461576338222	0.08175565653339721	0.028525852756742336			0.028525852756742336		
8	2	mitte_asym	cursor	L	middle	asym	bbox	0.00630814799055128	0.02155646701554559	0.026275842647863625	0.03456723749619414	0.06470720632598453	0.5817714432818073	0.06235730890883204	0.5886709341755053	0.010310097841989406	0.08123493598602433	0.04665408103249638	0.09424444927501886	0.03456723749619414				0.03456723749619414	
8	2	mitte_asym	cursor	L	middle	asym	random	0.1453822881684565	0.13194050205949195	0.14590480860987406	0.2755632011723479	0.15215776516955792	0.575500402483421	0.15854197884647378	0.6322232088591665	0.14527881670637544	0.13810953906274798	0.14695735276662686	0.284832324732424	0.2755632011723479					0.2755632011723479
