ppid	session	object	feedback	eye	vertical	symmetry	efrc3d_X	efrc3d_Y	efrc3d_Z	first_gaze3d_X	first_gaze3d_Y	first_gaze3d_Z	final_gaze3d_X	final_gaze3d_Y	final_gaze3d_Z
14	3	oben_asym	cursor	L	high	asym	0.010036956957898819	0.2027704466331543	-0.008452469642346602	-0.009107768772921389	0.860542591608998	-0.040161769521581625	0.00496183975879332	0.45587919600546134	0.005496537824342293
14	3	mitte_sym	cursor	L	middle	sym	-0.005249561875295899	0.17336464981257543	0.02343285691249331	0.004203346249515217	0.8609675150885422	-0.027067155829831185	0.0014034003343956832	0.41427350396463103	0.013816690904132872
14	3	mitte_asym	cursor	L	middle	asym	-0.005447765009059687	0.20255732530632004	0.00813770798982405	0.020244556568534265	0.8592077461572548	-0.014132795830939883	-0.018492278223223798	0.41887453829376947	-0.0038666711336844415
14	3	unten_sym	cursor	L	low	sym	-0.02203638995142457	0.10809711927923513	0.0449379663011176	-0.018839633286981433	0.84864333977049	-0.0513036770294293	0.006448108875854306	0.30280699091702	-0.0016564750817215966
14	3	unten_asym	cursor	L	low	asym	0.04847813004362276	0.10398997140136525	0.005362309513964622	-0.023504177422549722	0.8563240798529063	-0.040265592566061506	0.014675340463549777	0.33781814836797586	0.025455313559377076
14	3	oben_sym	cursor	L	high	sym	0.0146662134581826	0.17628677885571137	0.007229354243138361	-0.02249301458515386	0.8160336072670877	-0.022500077021641134	-0.002736909907579061	0.45224092595087073	0.008957976257410571
15	1	oben_asym	cursor	L	high	asym	0.0031520792602192397	0.22492447178093872	0.037717746528978295	-0.05454875768198701	0.5655414142424441	-0.28964067909037244	-0.0034300194427565205	0.32632468665619474	0.038284894943593044
15	1	mitte_sym	cursor	L	middle	sym	0.002106976491545072	0.18615194937580065	-0.012091226667509168	0.020608361509058187	0.7175157868111376	-0.00665622370292199	-0.01897155959226427	0.30687600475288074	-0.031809484963130505
15	1	mitte_asym	cursor	L	middle	asym	-0.042891266845938296	0.23823510451493368	0.00326447732995114	0.08533472609367224	0.6547205439132712	-0.0020689608312648017	-0.024543016161216596	0.3656006395342035	-0.0027964861667223433
15	1	unten_sym	cursor	L	low	sym	0.012498782126024666	0.11459477607288927	0.024140910557606775	-0.03931398514196682	0.6908212629143389	0.016167259446767536	0.005913188773982018	0.2381488198110072	0.011939881759503636
15	1	unten_asym	cursor	L	low	asym	0.08187153919204201	0.07379436161343042	0.04041901015875836	-0.014966540871116558	0.6216894211859111	-0.054842751995702405	0.05578924536408296	0.21986062642443985	0.03935531200692535
15	1	oben_sym	cursor	L	high	sym	0.022926501195348732	0.26949194652907227	-0.036825075799906064	-0.011464935076715808	0.7087824956186738	-0.01721829594851532	0.012758029618061476	0.40005315030843863	0.0028042391960946852
16	1	oben_asym	cursor	L	high	asym	0.03956683021543138	0.14495646151415773	0.05135692535108443	-0.007568580951487108	0.7240772000438829	-0.056527804516146044	0.011104869570662963	0.4299912294130425	-0.02010801108379375
16	1	mitte_sym	cursor	L	middle	sym	-0.003302008507026625	0.1756601852678066	0.01530263186412648	-0.001787058585151831	0.6238148765710712	0.03669451608849553	-0.0003136830324594477	0.353554803901819	0.04075172654470939
16	1	mitte_asym	cursor	L	middle	asym	-0.013431947163944092	0.11703792753033868	0.013012976424110794	-0.03778409317791142	0.7656663142058532	-0.05928551218193164	-0.0302680344851668	0.3869024432856791	0.027603032067277895
16	1	unten_sym	cursor	L	low	sym	0.001507863382197569	0.036033358160318704	-0.011279458880542704	-0.03990503735826893	0.7823639433912921	-0.04656753869956669	0.03372176418854053	0.27118899717367484	-0.007919122131739214
16	1	unten_asym	cursor	L	low	asym	0.06632579939692936	0.046637024460671514	0.017262506136584855	0.006428826570890329	0.7611934409054968	-0.05879805651907631	0.02393257869557922	0.33360548487293634	0.03200623685562505
16	1	oben_sym	cursor	L	high	sym	0.008176221710349017	0.12567250770147018	0.024036741814425784	-0.02672382462620645	0.6399383036890693	-0.05142019984024687	0.0032951053762955355	0.41042889594476534	-0.001990617678847905
18	2	oben_asym	cursor	L	high	asym	0.016085024680833438	0.3253060507549483	0.0023045038719255004	-0.03295462497629692	0.7971113021925672	-0.08942406877782667	0.037006447295724866	0.49202698909289	0.01670007323047379
18	2	mitte_sym	cursor	L	middle	sym	0.0026350577860419036	0.2028503321208527	0.021024458311838485	-0.0012218433598118637	0.7940064403965214	-0.06875151734086084	-0.001717500164291813	0.44346695077057435	0.019117580051206572
18	2	mitte_asym	cursor	L	middle	asym				-0.012307174318032658	0.7988701464223034	-0.0624564250348277	-0.0901709899009699	0.38012427595744647	0.02418019688662737
18	2	unten_sym	cursor	L	low	sym	0.001833185250218308	0.12462373369111526	0.015519276477589114	-0.031149520598927005	0.7793011542271308	-0.05765142590690479	0.001191021210629646	0.4060413234848899	-0.006648070709505514
18	2	unten_asym	cursor	L	low	asym	0.08444827656491984	0.1297363912811474	0.0012460475867699116	-0.005224108062948959	0.7895903808337675	-0.05761723629390279	0.0587460548829105	0.30906003760038536	-0.0384265897357948
18	2	oben_sym	cursor	L	high	sym	0.013560453384304911	0.2995128203802117	0.0044350182812011975	-0.03080340661532729	0.7997985731306506	-0.0612684342158049	0.031016670116314978	0.6164194841492732	0.016420922444362156
19	2	oben_asym	cursor	L	high	asym	0.009563583563855336	0.3279525721200649	0.015309695360569335	0.01406860679138713	0.7201336990568609	0.10322770308366434	0.011930982250243102	0.4967263508630169	0.003735200578679461
19	2	mitte_sym	cursor	L	middle	sym	-0.010383113001329287	0.21689487421802608	0.002228699596383723	0.0017144544930059891	0.7219371899236421	0.07245784715413113	-0.0021498420347979756	0.40429886662100534	0.010639750089113043
19	2	mitte_asym	cursor	L	middle	asym	-0.036719362908671324	0.23028271355942004	-0.006270910551921495	0.0043767159863731106	0.7197285873174916	0.11736600355050159	-0.03991856476050698	0.4228203172893646	-0.005457362869349046
19	2	unten_sym	cursor	L	low	sym	0.011912227009156213	0.03455123808834785	0.02957836750240247	0.04074195370706641	0.7210436494855942	0.10697249752487685	0.007649312917242936	0.2558644279165968	-0.013474822063904351
19	2	unten_asym	cursor	L	low	asym	0.06920671305255627	0.10473157467127331	-0.0013400439656208905	-0.016192750646397438	0.7241425204748096	0.09770958260224955	0.05133488878158251	0.4174260525052071	-0.031067536278154426
19	2	oben_sym	cursor	L	high	sym	-0.003552437809894927	0.31750687958958773	-0.009302783524693417	0.04457766273833128	0.721379833167365	0.09894441178117261	-0.0037093438975238386	0.5011759287401539	-0.014289843019186555
1	3	oben_asym	cursor	L	high	asym	0.004712795863993468	0.3828842662921873	0.003101223367117796	-0.017686812139876402	0.6645271238628281	0.03950322657557716	-0.00986109995439842	0.4392570075397122	-0.0036025987527104793
1	3	mitte_sym	cursor	L	middle	sym	-0.002763076542773009	0.32640768711485896	-0.0232687081182406	0.010085275564443604	0.6807005368543023	0.06569703216634776	-0.003928157383196771	0.3790438241979653	-0.02649306126540826
1	3	mitte_asym	cursor	L	middle	asym	-0.025000570348695583	0.3149922851503364	0.0009117277347195919	-0.03608278835513217	0.6813691114525391	0.024170551055303618	-0.018885458122567762	0.3676947219961277	-0.022363626704208633
1	3	unten_sym	cursor	L	low	sym	-0.003629922575671103	0.22867218197659048	-0.015560356092105277	-0.027406885806524697	0.6730754810833542	0.00860692505073537	-0.001721988354469381	0.2863899940701339	-0.0033153248595349655
1	3	unten_asym	cursor	L	low	asym	0.02839199336328956	0.2204532228712245	0.005457965020237937	0.01402426643127911	0.6701037420996203	-0.0012493947676033928	0.01730465932389291	0.25036889390088185	-0.011032541153844912
1	3	oben_sym	cursor	L	high	sym	-0.005635915321448961	0.40358751288197453	-0.0006868810242986597	0.01935799162374376	0.6853485427104077	0.054490904549806804	0.0033229512479453324	0.42826566815947587	-0.019247719893957873
20	3	oben_asym	cursor	L	high	asym	-0.0037040446626665476	0.4237753007638693	0.0321758490272755	-0.018473704122251577	0.7521525165189265	-0.04569791127741172	-0.005154147156180021	0.5006034426321355	0.01478446763629507
20	3	mitte_sym	cursor	L	middle	sym	0.0024612269534730873	0.35423122620380515	0.023467061261528078	-0.010841228573018408	0.7580009045682815	-0.036710060456762	0.010109495234213686	0.4531472822071872	0.01077254712233707
20	3	mitte_asym	cursor	L	middle	asym	-0.00368397399534035	0.3673942266100556	0.005762614667288463	-0.021398141276040117	0.7530572663325984	-0.05026780926033625	-0.014810403887236355	0.45232806893424465	0.0023043837524274777
20	3	unten_sym	cursor	L	low	sym	-0.003909102029832928	0.3248822578576442	0.016913526881245845	-0.025970032923700898	0.7528704492218234	-0.08477109348592599	-0.003718070716395972	0.4419148394942767	0.0010316641440748467
20	3	unten_asym	cursor	L	low	asym	0.02318351471567966	0.34927887394894996	0.007687450351135284	-0.03163238093689444	0.752049154978903	-0.06321127957626972	0.01608451627270542	0.43910590485538264	0.011175177306905745
20	3	oben_sym	cursor	L	high	sym	0.003937995314023176	0.4187767956699046	0.03412795859059131	-0.02858992484578495	0.7548587504763998	-0.04065627476693061	0.010452532168143853	0.4928145972431319	0.018269448673288394
21	1	oben_asym	cursor	L	high	asym	-0.014069936419500648	0.3550683155249361	-0.026877081082692964	0.014211642087326587	0.7278032222324028	0.011119103375956292	0.004117841024898408	0.38595743414473566	0.0104803981783308
21	1	mitte_sym	cursor	L	middle	sym	-0.004244334572164515	0.2884165065586993	-0.004590776395518735	-0.011090423465630614	0.7246188570533872	-0.0037717729727031846	0.009052650844779112	0.2890721588965337	0.00819264062715823
21	1	mitte_asym	cursor	L	middle	asym	-0.025920247855832967	0.2797060826228512	-0.004915568972725729	-4.3315674363872125e-05	0.7285699960480845	0.0329141106086914	-0.012910634991711361	0.30323898021941476	-0.013133981193207448
21	1	unten_sym	cursor	L	low	sym	0.009365172582050087	0.16352562277946667	-0.0008337276385047041	0.01348179193496726	0.7309533207424068	0.021105850670914406	0.00989829025696777	0.17644634931076678	-0.02521265438883563
21	1	unten_asym	cursor	L	low	asym	0.03717146315832717	0.16286477001198957	0.02461473098750226	0.03396527509086849	0.7271460190029159	0.010846527148938809	0.0406187131418475	0.13806453646859637	0.022169436528230814
21	1	oben_sym	cursor	L	high	sym	0.0014445001328636576	0.3659478750242566	-0.003104778726335648	0.0029371373688751746	0.7274163135551861	0.024931300784425358	0.003529858189520925	0.4006700064172314	-0.012504449227008992
22	1	oben_asym	cursor	L	high	asym	0.007156879585841647	0.29635109099961715	0.01672153885997661	-0.03563781979688539	0.7664466891180993	0.03406824277572879	0.01819458342885625	0.4085349787908642	0.017762598715673893
22	1	mitte_sym	cursor	L	middle	sym	0.02264879813140619	0.22537942644756023	-0.03793304228532847	-0.00238225025493455	0.7230605266328118	-0.05196829543101822	0.0014676486547374557	0.4706703545102025	-0.005518243595751733
22	1	mitte_asym	cursor	L	middle	asym	-0.0325554113004375	0.26110038416516973	-0.00839309221710294	-0.04482582004180371	0.7206183722023127	-0.037306555013555474	-0.004436486459475742	0.4018536088886087	-0.0005873416112533995
22	1	unten_sym	cursor	L	low	sym	0.0045611125547978726	0.21967612954662538	-0.02552832636579727	-0.030502753104660038	0.7648250859899162	-0.012473086358900641	0.009972123695457238	0.5312799535837011	0.015765392692811332
22	1	unten_asym	cursor	L	low	asym	0.019824927806550614	0.21909299477540017	0.03648047823434859	-0.0038069193681292807	0.7608874447064377	0.002625815492698721	-0.004674497181917481	0.28611638260106836	0.044834710689432185
22	1	oben_sym	cursor	L	high	sym	0.052825339240100674	0.20491191604047396	0.01498426326712697	-0.010197952928464652	0.7271611824728931	-0.07010291075083698	-0.003550514208480966	0.3679249026726059	0.01726049787163658
23	2	oben_asym	cursor	L	high	asym	0.00543759137163276	0.44273477437869374	-0.027844142586365448	-0.080353243438167	0.7442195709238512	0.10939471584947699	0.003015500942219693	0.45625848807024877	-0.019773534109052616
23	2	mitte_sym	cursor	L	middle	sym	0.003138420791755682	0.3092333660436	-0.030645647333103116	0.03581926718955656	0.7641399337088655	0.04971237533573888	0.008259923589606368	0.3207381778539697	-0.022966228717895328
23	2	mitte_asym	cursor	L	middle	asym	-0.023496964377594607	0.3078441134786883	-0.01976791178222331	-0.05992413610952429	0.684899017186589	-0.023989338882787935	-0.005398622053131456	0.33106901052420773	-0.006732439699105378
23	2	unten_sym	cursor	L	low	sym	-0.016430652260021873	0.16860895717855973	-0.05293670065900077	0.057926942761481026	0.6363284059222782	0.024589022972517513	-0.010147089800125826	0.19149132300588775	-0.038500791081489565
23	2	unten_asym	cursor	L	low	asym	0.032311464787797735	0.1707529417180939	-0.031331842012530274	0.08836620465812312	0.7260333771343821	0.06830562059177943	0.04167099974299651	0.17038492594482255	0.03686126278046404
23	2	oben_sym	cursor	L	high	sym	-0.022544038274385305	0.44816462523352235	-0.020730815947677395	0.015463464221935348	0.6650884723818229	0.03560572024187766	-0.015050355244658548	0.45300096597904216	-0.02103749463008885
