ppid	session	trial	feedback	variable	error_m	error_deg	error_m_schwind
15	3	15	none	point_errD	0.2813112972376447	4.595250341331813	0.16074931270722553
15	3	16	none	point_errD	0.2938543501319973	4.799205726769429	0.1679167715039985
15	3	17	none	point_errD	0.27970994965442986	4.5692032352338465	0.1598342569453885
16	1	0	cursor	point_errD	0.37146963264608424	6.0583604891949285	0.21226836151204814
16	1	1	cursor	point_errD	0.2510590913683461	4.102865962172313	0.14346233792476917
16	1	2	cursor	point_errD	0.2964798649907242	4.84188246519922	0.16941706570898526
16	1	3	cursor	point_errD	0.25638191395517596	4.189546229813198	0.14650395083152914
16	1	4	cursor	point_errD	0.2743086967276895	4.481333953237928	0.15674782670153684
16	1	5	cursor	point_errD	0.33216498236252073	5.4213771894886635	0.18980856135001187
16	1	6	cursor	point_errD	0.39338794401660804	6.412933801194556	0.22479311086663317
16	1	7	cursor	point_errD	0.2955258283170241	4.826375584867751	0.16887190189544238
16	1	8	cursor	point_errD	0.13892936916092713	2.273111361678557	0.07938821094910122
16	1	9	cursor	point_errD	0.1727318006310186	2.825365701071633	0.09870388607486777
16	1	10	cursor	point_errD	0.1624311570259219	2.65712768296026	0.09281780401481252
16	1	11	cursor	point_errD	0.27792251530799605	4.540127054924939	0.15881286589028346
16	1	12	cursor	point_errD	0.27183307095886877	4.441052608656223	0.1553331834050679
16	1	13	cursor	point_errD	0.19890107318022973	3.2525564769217623	0.11365775610298842
16	1	14	cursor	point_errD	0.3198735875812156	5.221895345186279	0.18278490718926607
16	1	15	cursor	point_errD	0.39287601238447717	6.404657781204189	0.22450057850541552
16	1	16	cursor	point_errD	0.3270300845043013	5.338056679055505	0.1868743340024579
16	1	17	cursor	point_errD	0.215560722556299	3.5243254053290123	0.12317755574645659
16	2	0	none	point_errD	0.33835470573690857	5.521783046369004	0.19334554613537633
16	2	1	none	point_errD	0.5896506475647239	9.562913480392103	0.3369432271798422
16	2	2	none	point_errD	0.8244991643315361	13.255561260864653	0.47114237961802063
16	2	3	none	point_errD	0.7113682917483319	11.488763908286177	0.4064961667133325
16	2	4	none	point_errD	0.5908580388946543	9.582132150244439	0.3376331650826596
16	2	5	none	point_errD	0.5523946302453189	8.96884202410079	0.3156540744258965
16	2	6	none	point_errD	0.8649237622549413	13.880891313925664	0.49424214985996645
16	2	7	none	point_errD	0.6660329083699318	10.774286000241263	0.38059023335424674
16	2	8	none	point_errD	0.5138890165664664	8.352796480668545	0.2936508666094093
16	2	9	none	point_errD	0.5620650412073369	9.123235256848435	0.3211800235470497
