ppid	session	feedback	occluded	obj_scale	age	gender	gaze_acc	gaze_rms	gaze_sd	ipd	wrist_cal_x	wrist_cal_y	wrist_cal_z	data_file	in_file
3	3	none	no	0.6	24	male	0.5329240763824477	0.14672159503689441	0.45246363488363983	65.0385428752218	0.004317281942348927	0.2197769209742546	-0.023557155393064022	VRpoint_3_3_20210408_104155_all.	trials_nofb_visible.tsv
4	1	none	no	0.6	22	female	0.46672627539146055	0.11591453505318072	0.3109175490219086	63.38331605892004	-0.005541260470636189	0.18375782668590546	0.011258940678089857	VRpoint_4_1_20210408_122916_all.	trials_nofb_visible.tsv
4	2	hand	no	0.6	22	female	0.47376789501960204	0.14267706644256586	0.30765366499098695	63.60081760964779	-0.005541260470636189	0.18375782668590546	0.011258940678089857	VRpoint_4_2_20210408_123608_all.	trials_hand_visible.tsv
4	3	cursor	no	0.6	22	female	0.8442001986166012	0.6264337584000684	0.900656877406897	63.634767300038604	-0.005541260470636189	0.18375782668590546	0.011258940678089857	VRpoint_4_3_20210408_124219_all.	trials_cursor_visible.tsv
5	1	cursor	no	0.6	21	female	0.7316310635210076	0.07940762525335834	0.23779329591419657	61.758816036285815	-0.03268764913082123	0.20563886314630508	-0.05174378678202629	VRpoint_5_1_20210408_135610_all.	trials_cursor_visible.tsv
5	2	none	no	0.6	21	female	0.8100218431635465	0.07377280282938278	0.2309256975480781	61.85199793497598	-0.03268764913082123	0.20563886314630508	-0.05174378678202629	VRpoint_5_2_20210408_140352_all.	trials_nofb_visible.tsv
5	3	hand	no	0.6	21	female	0.6666549004021906	0.16617672434353395	0.4009989751051072	61.89237824924614	-0.03268764913082123	0.20563886314630508	-0.05174378678202629	VRpoint_5_3_20210408_141032_all.	trials_hand_visible.tsv
6	1	hand	no	0.6	22	female	0.9526189306076454	0.20955139368223827	0.46629699003511754	53.927565791777205	-0.019383346661925316	0.17418936640024185	-0.003455189988017082	VRpoint_6_1_20210408_150739_all.	trials_hand_visible.tsv
6	2	none	no	0.6	22	female	1.3297669142849913	0.5052363964216114	0.911784318619674	53.92975954350478	-0.019383346661925316	0.17418936640024185	-0.003455189988017082	VRpoint_6_2_20210408_151318_all.	trials_nofb_visible.tsv
6	3	cursor	no	0.6	22	female	0.8601491724736802	0.24923421630872614	0.5597473801948902	53.86020170050379	-0.019383346661925316	0.17418936640024185	-0.003455189988017082	VRpoint_6_3_20210408_151825_all.	trials_cursor_visible.tsv
7	1	none	no	0.6	21	male	0.7577456791250389	0.2057706285696906	0.45143430440689486	60.51284658103625	-0.010385944973677397	0.19565754383802414	-0.013237908482551575	VRpoint_7_1_20210409_102903_all.	trials_nofb_visible.tsv
7	2	cursor	no	0.6	21	male	0.7289012711844242	0.21525002033034074	0.7262572864367589	60.56917278986909	-0.010385944973677397	0.19565754383802414	-0.013237908482551575	VRpoint_7_2_20210409_103636_all.	trials_cursor_visible.tsv
7	3	hand	no	0.6	21	male	1.1483593848975604	0.3337816913913424	0.5722027873889868	60.539249786586495	-0.010385944973677397	0.19565754383802414	-0.013237908482551575	VRpoint_7_3_20210409_104330_all.	trials_hand_visible.tsv
8	1	hand	no	0.6	24	male	0.4606062242994039	0.14771034387104826	0.5518295303198861	66.01299001887348	-0.027812844142317772	0.25846678018569946	-0.04202725179493427	VRpoint_8_1_20210409_132208_all.	trials_hand_visible.tsv
8	2	cursor	no	0.6	24	male	0.48871482582685477	0.16787395385949613	0.5553158581737356	66.10936242971361	-0.027812844142317772	0.25846678018569946	-0.04202725179493427	VRpoint_8_2_20210409_132819_all.	trials_cursor_visible.tsv
8	3	none	no	0.6	24	male	0.4620298729929311	0.13223867353699134	0.421586446000234	66.14741825076364	-0.027812844142317772	0.25846678018569946	-0.04202725179493427	VRpoint_8_3_20210409_133447_all.	trials_nofb_visible.tsv
9	1	hand	no	0.6	29	male	1.0806628509117802	0.1727983587312053	0.46953396525737745	61.696015890710854	0.018640531226992607	0.18644537031650543	0.026632237248122692	VRpoint_9_1_20210409_142032_all.	trials_hand_visible.tsv
9	2	none	no	0.6	29	female	0.9412092446577658	0.10325717641439972	0.38880643862243347	61.86811258750301	0.018640531226992607	0.18644537031650543	0.026632237248122692	VRpoint_9_2_20210409_142713_all.	trials_nofb_visible.tsv
9	3	cursor	no	0.6	29	female	0.8958317878298374	0.17087118706512308	0.6726937468459739	62.047310395640615	0.018640531226992607	0.18644537031650543	0.026632237248122692	VRpoint_9_3_20210409_143328_all.	trials_cursor_visible.tsv
